N,M,H_ev,sigma_ev
10,2,0.6375066041946411,0.07470645755529404
10,4,1.2189897298812866,0.13626308739185333
10,8,1.6498075723648071,0.18210530281066895
10,16,1.945472240447998,0.16908183693885803
10,32,2.1154892444610596,0.1435125470161438
10,64,2.209245443344116,0.10157032310962677
10,128,2.2575619220733643,0.07938051223754883
10,256,2.2777180671691895,0.05726699158549309
10,512,2.2898311614990234,0.04056461900472641
10,1024,2.2957923412323,0.031809862703084946
20,2,0.6690697073936462,0.03353342413902283
20,4,1.3082820177078247,0.06463991105556488
20,8,1.8826642036437988,0.10254545509815216
20,16,2.3373613357543945,0.13218805193901062
20,32,2.6290500164031982,0.11878065764904022
20,64,2.7988598346710205,0.09737695008516312
20,128,2.892042636871338,0.07965701818466187
20,256,2.9451744556427,0.05566811561584473
20,512,2.970552921295166,0.04140462726354599
20,1024,2.9834375381469727,0.028693314641714096
50,2,0.6837199926376343,0.01281295157968998
50,4,1.3560786247253418,0.025235701352357864
50,8,2.0059597492218018,0.0396895594894886
50,16,2.6083240509033203,0.06020467355847359
50,32,3.102842330932617,0.07739262282848358
50,64,3.447690963745117,0.08108785003423691
50,128,3.6661856174468994,0.07189756631851196
50,256,3.7842769622802734,0.05569694563746452
50,512,3.8454177379608154,0.039027102291584015
50,1024,3.8783347606658936,0.030192410573363304
100,2,0.6876142621040344,0.007944201119244099
100,4,1.3714302778244019,0.011659450829029083
100,8,2.042856454849243,0.02056802250444889
100,16,2.69450306892395,0.028317537158727646
100,32,3.2962522506713867,0.04251257702708244
100,64,3.7898991107940674,0.055828291922807693
100,128,4.143375396728516,0.057695262134075165
100,256,4.354291915893555,0.04924917221069336
100,512,4.477811813354492,0.0384015291929245
100,1024,4.540032386779785,0.027933210134506226
200,2,0.690704345703125,0.003527565160766244
200,4,1.3788764476776123,0.006102407351136208
200,8,2.0619773864746094,0.00921123567968607
200,16,2.734677314758301,0.01326700672507286
200,32,3.3853068351745605,0.02022589184343815
200,64,3.9891550540924072,0.03001723624765873
200,128,4.482577323913574,0.04028703272342682
200,256,4.8348917961120605,0.03910433128476143
200,512,5.049063682556152,0.03438309207558632
200,1024,5.169723033905029,0.02810496836900711
500,2,0.6921488642692566,0.0013231652555987239
500,4,1.3833574056625366,0.0024092209059745073
500,8,2.0724449157714844,0.0036215318832546473
500,16,2.757502794265747,0.005458707455545664
500,32,3.4345455169677734,0.007953970693051815
500,64,4.094004154205322,0.011861677281558514
500,128,4.716144561767578,0.01688361167907715
500,256,5.253471851348877,0.023468665778636932
500,512,5.653385162353516,0.025724831968545914
500,1024,5.905181884765625,0.02370370738208294
1000,2,0.6926637291908264,0.0006502406904473901
1000,4,1.3847984075546265,0.0012813237262889743
1000,8,2.0758917331695557,0.0018658839398995042
1000,16,2.7652299404144287,0.0026879089418798685
1000,32,3.4501187801361084,0.004137095063924789
1000,64,4.126942157745361,0.005716297775506973
1000,128,4.7873029708862305,0.00807594321668148
1000,256,5.4086833000183105,0.012167801149189472
1000,512,5.947360515594482,0.01747114770114422
1000,1024,6.345700263977051,0.01840079389512539
2000,2,0.6928982138633728,0.00034869142109528184
2000,4,1.3855472803115845,0.0006124414503574371
2000,8,2.0776729583740234,0.0009403449366800487
2000,16,2.7689058780670166,0.0013565127737820148
2000,32,3.457994222640991,0.0018859680276364088
2000,64,4.143001079559326,0.0029441993683576584
2000,128,4.819846153259277,0.004066385794430971
2000,256,5.479754447937012,0.005726189818233252
2000,512,6.10217809677124,0.008794615045189857
2000,1024,6.6396613121032715,0.012421629391610622
5000,2,0.6930432319641113,0.0001505295222159475
5000,4,1.386010766029358,0.00024234445299953222
5000,8,2.0787696838378906,0.00037038433947600424
5000,16,2.771075963973999,0.0005564009770750999
5000,32,3.4625983238220215,0.0007984426920302212
5000,64,4.152573585510254,0.0010793085675686598
5000,128,4.839243412017822,0.0016303895972669125
5000,256,5.519478797912598,0.0022779551800340414
5000,512,6.186280250549316,0.0034103551879525185
5000,1024,6.824452877044678,0.004668737296015024
10000,2,0.6930994987487793,7.02487159287557e-05
10000,4,1.386143684387207,0.00012071563105564564
10000,8,2.079080104827881,0.00019531305588316172
10000,16,2.7718286514282227,0.00027341741952113807
10000,32,3.464207172393799,0.0003871841763611883
10000,64,4.155735492706299,0.0005475452053360641
10000,128,4.845667362213135,0.0008054699865169823
10000,256,5.532434940338135,0.0010803303448483348
10000,512,6.2126078605651855,0.0016104942187666893
10000,1024,6.879367351531982,0.0022695164661854506
20000,2,0.6931230425834656,3.267990177846514e-05
20000,4,1.3862195014953613,6.3834544562269e-05
20000,8,2.0792641639709473,9.478654101258144e-05
20000,16,2.7722153663635254,0.0001331663952441886
20000,32,3.4649453163146973,0.00020024315745104104
20000,64,4.157318592071533,0.0002773050218820572
20000,128,4.848842144012451,0.0004127239517401904
20000,256,5.538815021514893,0.0005714709404855967
20000,512,6.2255096435546875,0.000797283195424825
20000,1024,6.905735492706299,0.0011273908894509077
50000,2,0.6931368708610535,1.4110819392954e-05
50000,4,1.3862642049789429,2.5287661628681235e-05
50000,8,2.0793709754943848,3.7665118725271896e-05
50000,16,2.7724392414093018,5.4687403462594375e-05
50000,32,3.4654250144958496,7.772055687382817e-05
50000,64,4.158252239227295,0.00011107463797088712
50000,128,4.850762844085693,0.0001590205793036148
50000,256,5.542606353759766,0.0002213180559920147
50000,512,6.233198642730713,0.0003224416868761182
50000,1024,6.921188831329346,0.0004759505100082606
